method_id,family_short,dataset_id,perturbation_axis,score
SIMLR,graph,batch_4,batch_number,0.6975789473684211
SPDR,graph,batch_4,batch_number,0.6694736842105263
SQuaD-MDS,metric,batch_4,batch_number,0.4644736842105262
SSNMDI,linear,batch_4,batch_number,0.2434736842105263
t-SNE,metric,batch_4,batch_number,0.6044210526315789
TriMap,metric,batch_4,batch_number,0.6501578947368422
UMAP,graph,batch_4,batch_number,0.6034736842105264
VAE,deep,batch_4,batch_number,0.5328947368421054
ZIFA,linear,batch_4,batch_number,0.587578947368421
IVIS,metric,batch_4,batch_number,0.5533157894736843
pCMF,linear,batch_4,batch_number,0.2392105263157895
scGAE,deep,batch_4,batch_number,0.2854210526315789
scGBM,linear,batch_4,batch_number,0.5864736842105263
scScope,deep,batch_4,batch_number,0.229578947368421
scvis,deep,batch_4,batch_number,0.2772631578947369
tGPLVM,linear,batch_4,batch_number,0.6722105263157896
DRA,deep,batch_6,batch_number,0.2393684210526316
DREAM,deep,batch_6,batch_number,0.2629473684210526
EDGE,graph,batch_6,batch_number,0.5900526315789473
GLMPCA,linear,batch_6,batch_number,0.6255789473684211
PCA,linear,batch_6,batch_number,0.6558947368421052
PHATE,graph,batch_6,batch_number,0.6835263157894736
PaCMAP,metric,batch_6,batch_number,0.2764736842105262
SAUCIE,deep,batch_6,batch_number,0.2451052631578947
SCDRHA,deep,batch_6,batch_number,0.5372105263157895
SIMLR,graph,batch_6,batch_number,0.6551052631578947
SPDR,graph,batch_6,batch_number,0.6959473684210526
SQuaD-MDS,metric,batch_6,batch_number,0.4696315789473684
SSNMDI,linear,batch_6,batch_number,0.2163157894736841
t-SNE,metric,batch_6,batch_number,0.6132631578947368
TriMap,metric,batch_6,batch_number,0.6985789473684211
UMAP,graph,batch_6,batch_number,0.6497368421052632
VAE,deep,batch_6,batch_number,0.510842105263158
ZIFA,linear,batch_6,batch_number,0.6507368421052632
