dataset_id,method_raw,metric,metric_value,component_domain,perturbation_axis,axis_order,method_id,parent_method,parameter_label,method_family,method_order
cell_100,SAUCIE,Mrre_missing_30,0.292,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,Pearson,0.145,global,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,nh_30,0.2,local,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,ARI,-0.01,cluster,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,NMI,0.04,cluster,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,SIL,0.39,cluster,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,COMP,0.05,cluster,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SAUCIE,HOMO,0.04,cluster,cell_number,1,SAUCIE,SAUCIE,100,deep generative/autoencoder,11.0
cell_100,SCDRHA,knn_30,0.23,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,svm,0.26,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,nkr_30,0.348,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,aji_30,0.217,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,random_triplet,0.56,global,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,spearman,0.212,global,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,k-nearest,0.4,global,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,centroid_distance,0.639,global,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,T_30,0.589,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,C_30,0.647,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,Mrre_false_30,0.516,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,Mrre_missing_30,0.577,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,Pearson,0.202,global,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,nh_30,0.209,local,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,ARI,-0.0,cluster,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,NMI,0.08,cluster,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,SIL,0.55,cluster,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,COMP,0.08,cluster,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SCDRHA,HOMO,0.07,cluster,cell_number,1,SCDRHA,SCDRHA,100,deep generative/autoencoder,13.0
cell_100,SIMLR,knn_30,0.85,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,svm,0.95,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,nkr_30,0.405,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,aji_30,0.251,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,random_triplet,0.602,global,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,spearman,0.219,global,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,k-nearest,0.0,global,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,centroid_distance,0.253,global,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,T_30,0.66,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,C_30,0.657,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,Mrre_false_30,0.638,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,Mrre_missing_30,0.609,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,Pearson,0.272,global,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,nh_30,0.632,local,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,ARI,0.89,cluster,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,NMI,0.89,cluster,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,SIL,0.72,cluster,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,COMP,0.9,cluster,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SIMLR,HOMO,0.89,cluster,cell_number,1,SIMLR,SIMLR,100,graph/diffusion,18.0
cell_100,SPDR,knn_30,0.33,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,svm,0.32,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,nkr_30,0.575,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,aji_30,0.454,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,random_triplet,0.738,global,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,spearman,0.618,global,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,k-nearest,0.2,global,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,centroid_distance,0.658,global,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,T_30,0.777,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
cell_100,SPDR,C_30,0.889,local,cell_number,1,SPDR,SPDR,100,graph/diffusion,21.0
