method_raw,method_id,parent_method,perturbation_axis,score,source_file
tGPLVM,tGPLVM,tGPLVM,de_prob,0.6707848152216693,metric\score\stability\de_prob.csv
DRA,DRA,DRA,de_strength,0.1107934418902619,metric\score\stability\de_strength.csv
DREAM,DREAM,DREAM,de_strength,0.6141548804024761,metric\score\stability\de_strength.csv
EDGE,EDGE,EDGE,de_strength,0.6779461762148894,metric\score\stability\de_strength.csv
GLMPCA,GLMPCA,GLMPCA,de_strength,0.7173683363585628,metric\score\stability\de_strength.csv
PCA,PCA,PCA,de_strength,0.749515427393428,metric\score\stability\de_strength.csv
PHATE,PHATE,PHATE,de_strength,0.7749988779566965,metric\score\stability\de_strength.csv
PaCMAP,PaCMAP,PaCMAP,de_strength,0.1319666910349156,metric\score\stability\de_strength.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,de_strength,0.7555478074958912,metric\score\stability\de_strength.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,de_strength,0.7469879941883032,metric\score\stability\de_strength.csv
SAUCIE,SAUCIE,SAUCIE,de_strength,0.1317229251947831,metric\score\stability\de_strength.csv
SCDRHA,SCDRHA,SCDRHA,de_strength,0.6717888944927923,metric\score\stability\de_strength.csv
SIMLR,SIMLR,SIMLR,de_strength,0.7839826480835557,metric\score\stability\de_strength.csv
SPDR,SPDR,SPDR,de_strength,0.8122536929698768,metric\score\stability\de_strength.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_strength,0.6154022145396465,metric\score\stability\de_strength.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_strength,0.7158683976436564,metric\score\stability\de_strength.csv
SSNMDI,SSNMDI,SSNMDI,de_strength,0.0928338108205176,metric\score\stability\de_strength.csv
TSNE,t-SNE,t-SNE,de_strength,0.7766570928753362,metric\score\stability\de_strength.csv
TriMap,TriMap,TriMap,de_strength,0.8237615995564432,metric\score\stability\de_strength.csv
UMAP,UMAP,UMAP,de_strength,0.6986234504367085,metric\score\stability\de_strength.csv
VAE,VAE,VAE,de_strength,0.7761827332863378,metric\score\stability\de_strength.csv
ZIFA,ZIFA,ZIFA,de_strength,0.7515767634582382,metric\score\stability\de_strength.csv
ivis,IVIS,IVIS,de_strength,0.6866645784564177,metric\score\stability\de_strength.csv
pCMF,pCMF,pCMF,de_strength,0.2987736647223162,metric\score\stability\de_strength.csv
scGAE,scGAE,scGAE,de_strength,0.4384595977279435,metric\score\stability\de_strength.csv
scGBM,scGBM,scGBM,de_strength,0.7124584288470471,metric\score\stability\de_strength.csv
scScope,scScope,scScope,de_strength,0.5525121025378337,metric\score\stability\de_strength.csv
scvis,scvis,scvis,de_strength,0.4408195736242289,metric\score\stability\de_strength.csv
tGPLVM,tGPLVM,tGPLVM,de_strength,0.6703593002281977,metric\score\stability\de_strength.csv
DRA,DRA,DRA,dropout,0.1273928173114777,metric\score\stability\dropout.csv
DREAM,DREAM,DREAM,dropout,0.1914739352829793,metric\score\stability\dropout.csv
EDGE,EDGE,EDGE,dropout,0.5517693312141507,metric\score\stability\dropout.csv
GLMPCA,GLMPCA,GLMPCA,dropout,0.6186487496708308,metric\score\stability\dropout.csv
PCA,PCA,PCA,dropout,0.6081452808882156,metric\score\stability\dropout.csv
PHATE,PHATE,PHATE,dropout,0.6866938421518171,metric\score\stability\dropout.csv
PaCMAP,PaCMAP,PaCMAP,dropout,0.1356408281333702,metric\score\stability\dropout.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,dropout,0.7479939184828115,metric\score\stability\dropout.csv
