method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,source_file
TSNE,0.19,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
UMAP,0.17,UMAP,UMAP,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
VAE,0.17,VAE,VAE,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
DREAM,0.11,DREAM,DREAM,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
ZIFA,0.12,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
SSNMDI,0.0,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
tGPLVM,0.05,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
SQuaD_MDS,0.13,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
GLMPCA,0.17,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
PaCMAP,0.0,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
ParametricUMAP200,0.17,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
scScope,0.2,scScope,scScope,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
scvis,0.21,scvis,scvis,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
EDGE,0.1,EDGE,EDGE,benchmarker,Baron_mouse,louvain,ARI,metric\cluster\benchmarker\Baron_mouse\indicators\louvain_ARI.csv
