method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
ZIFA,,,,,,,,,c_local_rank,,,,,,,,0.5828125,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,c_local_rank,,,,,,,,0.5760624999999999,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,c_local_rank,,,,,,,,0.575,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,c_local_rank,,,,,,,,0.520125,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,c_local_rank,,,,,,,,0.5111875,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,c_local_rank,,,,,,,,0.49799999999999994,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,c_local_rank,,,,,,,,0.44493750000000004,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,c_local_rank,,,,,,,,0.43125,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,c_local_rank,,,,,,,,0.3821875,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,c_local_rank,,,,,,,,0.374625,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,c_local_rank,,,,,,,,0.2723125,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,,,,d_global_rank,,,,,,,,0.7754285714285715,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
