parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
,,,,,,d_global_rank,,,,,,EDGE,0.44420000000000004,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,PaCMAP,0.28200000000000003,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,DRA,0.2612,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,d_global_rank,,,,,,SSNMDI,0.26097157099609314,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,e_large_dataset_completion,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scvis,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,e_large_dataset_completion,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,e_large_dataset_completion,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,e_large_dataset_completion,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,e_large_dataset_completion,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,e_large_dataset_completion,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.25339999999999996,0.2612,0.2573,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.4024,0.5983,0.5003500000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.47168144466534134,0.44420000000000004,0.4579407223326707,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.4958,0.6268,0.5613,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5154,0.5894,0.5524,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.46399999999999997,0.7034,0.5837,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5464,0.6404,0.5933999999999999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.304,0.28200000000000003,0.29300000000000004,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.42180308044243653,0.6032,0.5125015402212183,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5157,0.7017,0.6087,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.6,0.5616000000000001,0.5808,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5820000000000001,0.6324,0.6072,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5455,0.7679,0.6567000000000001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.2942,0.26097157099609314,0.2775857854980466,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5766,0.7025556539810832,0.6395778269905417,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.5696,0.629,0.5992999999999999,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,f_local_global_tradeoff,,,,,,,,,,,,0.4715999999999999,0.46020000000000005,0.4659,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
