parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
TriMap,kmeans,,metric,d,,,SIMLR,Pollen,0.76,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,SIMLR,Pollen,0.69,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,SIMLR,Pollen,0.53,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,SIMLR,Pollen,0.66,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,SIMLR,Pollen,0.61,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,SIMLR,Pollen,0.54,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,SIMLR,Pollen,0.41,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,SIMLR,Pollen,0.39,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,SIMLR,Pollen,0.39,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,SIMLR,Pollen,0.79,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,SIMLR,Pollen,0.72,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,SIMLR,Pollen,0.73,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,SIMLR,Pollen,0.66,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,SIMLR,Pollen,0.67,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,SIMLR,Pollen,0.65,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,SIMLR,Pollen,0.48,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,SIMLR,Pollen,0.45,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,SIMLR,Pollen,0.45,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,SIMLR,Pollen,0.55,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,SIMLR,Pollen,0.55,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,SIMLR,Pollen,0.49,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,SIMLR,Pollen,0.78,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,SIMLR,Pollen,0.64,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,SIMLR,Pollen,0.51,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,SIMLR,Pollen,0.14,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,SIMLR,Pollen,0.14,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,SIMLR,Pollen,0.15,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,SIMLR,Pollen,0.68,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,SIMLR,Pollen,0.74,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,SIMLR,Pollen,0.73,,,,,,,,,,,,,,,,,,,,,,
