method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
scGBM,0.76,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,HOMO
SPDR,0.91,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,HOMO
pCMF,0.39,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,HOMO
SQuaD_MDS_hybrid,0.83,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO
SCDRHA,0.8,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,HOMO
TSNE,0.87,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,HOMO
UMAP,0.83,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,HOMO
VAE,0.88,VAE,VAE,benchmarker,Baron_mouse,kmeans,HOMO
DREAM,0.57,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,HOMO
ZIFA,0.61,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,HOMO
SSNMDI,0.04,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,HOMO
tGPLVM,0.39,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,HOMO
SQuaD_MDS,0.71,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,HOMO
GLMPCA,0.78,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,HOMO
PaCMAP,0.04,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,HOMO
ParametricUMAP200,0.84,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,HOMO
scScope,0.82,scScope,scScope,benchmarker,Baron_mouse,kmeans,HOMO
scvis,0.83,scvis,scvis,benchmarker,Baron_mouse,kmeans,HOMO
EDGE,0.53,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,HOMO
TriMap,0.89,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,HOMO
ParametricUMAP50,0.84,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,HOMO
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,HOMO
SIMLR,0.88,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,HOMO
SAUCIE,0.38,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,HOMO
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,HOMO
PHATE,0.83,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,HOMO
ivis,0.69,IVIS,IVIS,benchmarker,Baron_mouse,kmeans,NMI
scGAE,0.61,scGAE,scGAE,benchmarker,Baron_mouse,kmeans,NMI
VASC,0.76,VASC,VASC,benchmarker,Baron_mouse,kmeans,NMI
scGBM,0.62,scGBM,scGBM,benchmarker,Baron_mouse,kmeans,NMI
SPDR,0.76,SPDR,SPDR,benchmarker,Baron_mouse,kmeans,NMI
pCMF,0.32,pCMF,pCMF,benchmarker,Baron_mouse,kmeans,NMI
SQuaD_MDS_hybrid,0.67,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI
SCDRHA,0.69,SCDRHA,SCDRHA,benchmarker,Baron_mouse,kmeans,NMI
TSNE,0.71,t-SNE,t-SNE,benchmarker,Baron_mouse,kmeans,NMI
UMAP,0.68,UMAP,UMAP,benchmarker,Baron_mouse,kmeans,NMI
VAE,0.71,VAE,VAE,benchmarker,Baron_mouse,kmeans,NMI
DREAM,0.46,DREAM,DREAM,benchmarker,Baron_mouse,kmeans,NMI
ZIFA,0.51,ZIFA,ZIFA,benchmarker,Baron_mouse,kmeans,NMI
SSNMDI,0.03,SSNMDI,SSNMDI,benchmarker,Baron_mouse,kmeans,NMI
tGPLVM,0.32,tGPLVM,tGPLVM,benchmarker,Baron_mouse,kmeans,NMI
SQuaD_MDS,0.58,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,kmeans,NMI
GLMPCA,0.64,GLMPCA,GLMPCA,benchmarker,Baron_mouse,kmeans,NMI
PaCMAP,0.03,PaCMAP,PaCMAP,benchmarker,Baron_mouse,kmeans,NMI
ParametricUMAP200,0.69,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,kmeans,NMI
scScope,0.67,scScope,scScope,benchmarker,Baron_mouse,kmeans,NMI
scvis,0.7,scvis,scvis,benchmarker,Baron_mouse,kmeans,NMI
EDGE,0.42,EDGE,EDGE,benchmarker,Baron_mouse,kmeans,NMI
TriMap,0.73,TriMap,TriMap,benchmarker,Baron_mouse,kmeans,NMI
ParametricUMAP50,0.69,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,kmeans,NMI
DRA,0.02,DRA,DRA,benchmarker,Baron_mouse,kmeans,NMI
SIMLR,0.74,SIMLR,SIMLR,benchmarker,Baron_mouse,kmeans,NMI
SAUCIE,0.31,SAUCIE,SAUCIE,benchmarker,Baron_mouse,kmeans,NMI
PCA,0.6,PCA,PCA,benchmarker,Baron_mouse,kmeans,NMI
PHATE,0.72,PHATE,PHATE,benchmarker,Baron_mouse,kmeans,NMI
