method_raw,method_id,parent_method,perturbation_axis,score
SCDRHA,SCDRHA,SCDRHA,gene_number,0.6064762149337747
SIMLR,SIMLR,SIMLR,gene_number,0.8370057719138172
SPDR,SPDR,SPDR,gene_number,0.8189764504787866
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,gene_number,0.4692071435395464
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,gene_number,0.7475143360739172
SSNMDI,SSNMDI,SSNMDI,gene_number,0.1157900611119457
TSNE,t-SNE,t-SNE,gene_number,0.7953373267485098
TriMap,TriMap,TriMap,gene_number,0.8512334683184696
UMAP,UMAP,UMAP,gene_number,0.7935960101449436
VAE,VAE,VAE,gene_number,0.7807259917859365
ZIFA,ZIFA,ZIFA,gene_number,0.6908678322810575
ivis,IVIS,IVIS,gene_number,0.5644777049135854
pCMF,pCMF,pCMF,gene_number,0.0979905853096566
scGAE,scGAE,scGAE,gene_number,0.3510799672265158
scGBM,scGBM,scGBM,gene_number,0.6668585133548699
scScope,scScope,scScope,gene_number,0.4071308257928955
scvis,scvis,scvis,gene_number,0.1444898949919613
tGPLVM,tGPLVM,tGPLVM,gene_number,0.6634920964625806
DRA,DRA,DRA,out,0.1158981811977128
DREAM,DREAM,DREAM,out,0.1853637365239483
EDGE,EDGE,EDGE,out,0.7668973857182563
GLMPCA,GLMPCA,GLMPCA,out,0.7124871307346232
PCA,PCA,PCA,out,0.7315586445677992
PHATE,PHATE,PHATE,out,0.7813167532325929
PaCMAP,PaCMAP,PaCMAP,out,0.1318758497676365
ParametricUMAP200,Parametric UMAP 200,UMAP,out,0.8143651431163864
ParametricUMAP50,Parametric UMAP 50,UMAP,out,0.8024862759317974
SAUCIE,SAUCIE,SAUCIE,out,0.108303561883114
SCDRHA,SCDRHA,SCDRHA,out,0.6141812752529228
SIMLR,SIMLR,SIMLR,out,0.8387094083943897
SPDR,SPDR,SPDR,out,0.8214120005093969
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,out,0.487793790407442
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,out,0.7884464321838364
SSNMDI,SSNMDI,SSNMDI,out,0.0998644063398621
TSNE,t-SNE,t-SNE,out,0.803903792769977
TriMap,TriMap,TriMap,out,0.8441076213470406
UMAP,UMAP,UMAP,out,0.8009498387535391
VAE,VAE,VAE,out,0.7733149671302559
ZIFA,ZIFA,ZIFA,out,0.72476254464467
ivis,IVIS,IVIS,out,0.3879464112942643
pCMF,pCMF,pCMF,out,0.0867358942694987
scGAE,scGAE,scGAE,out,0.1525634306687256
scGBM,scGBM,scGBM,out,0.6967254333278222
scScope,scScope,scScope,out,0.1467617060364649
scvis,scvis,scvis,out,0.0843209295006849
