method_raw,method_id,parent_method,perturbation_axis,score,family
SIMLR,SIMLR,SIMLR,celltype_number,0.791543270573378,graph/diffusion
SPDR,SPDR,SPDR,celltype_number,0.8453809551740825,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,celltype_number,0.4278702038080252,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,celltype_number,0.5740789307780407,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,celltype_number,0.1804233749632076,linear/probabilistic
TSNE,t-SNE,t-SNE,celltype_number,0.8419310280858696,metric/structure-aware
TriMap,TriMap,TriMap,celltype_number,0.8600449010109694,metric/structure-aware
UMAP,UMAP,UMAP,celltype_number,0.6764701106838252,graph/diffusion
VAE,VAE,VAE,celltype_number,0.7965530058421662,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,celltype_number,0.4636743020996,linear/probabilistic
ivis,IVIS,IVIS,celltype_number,0.2251230066970115,metric/structure-aware
pCMF,pCMF,pCMF,celltype_number,0.1593842630473728,linear/probabilistic
scGAE,scGAE,scGAE,celltype_number,0.1539534034706363,deep generative/autoencoder
scGBM,scGBM,scGBM,celltype_number,0.4844445283960202,linear/probabilistic
scScope,scScope,scScope,celltype_number,0.1863982237123593,deep generative/autoencoder
scvis,scvis,scvis,celltype_number,0.183199617653187,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,celltype_number,0.1870430349676848,linear/probabilistic
DRA,DRA,DRA,de_prob,0.1341300050401535,deep generative/autoencoder
DREAM,DREAM,DREAM,de_prob,0.4931920378563125,deep generative/autoencoder
EDGE,EDGE,EDGE,de_prob,0.6957527926043161,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,de_prob,0.7033934583945955,linear/probabilistic
PCA,PCA,PCA,de_prob,0.7185274215841633,linear/probabilistic
PHATE,PHATE,PHATE,de_prob,0.7602835786759344,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,de_prob,0.1442852232794601,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,de_prob,0.759441608993485,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,de_prob,0.7633340815143081,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,de_prob,0.1208845555915354,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,de_prob,0.6195030601711375,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,de_prob,0.783084122225534,graph/diffusion
SPDR,SPDR,SPDR,de_prob,0.7952325699240155,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,de_prob,0.493623263212784,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,de_prob,0.7128200373851867,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,de_prob,0.113809239271635,linear/probabilistic
TSNE,t-SNE,t-SNE,de_prob,0.7771813927839413,metric/structure-aware
TriMap,TriMap,TriMap,de_prob,0.8126512024667181,metric/structure-aware
UMAP,UMAP,UMAP,de_prob,0.6916536163875884,graph/diffusion
VAE,VAE,VAE,de_prob,0.7556558274408287,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,de_prob,0.7139013804454073,linear/probabilistic
ivis,IVIS,IVIS,de_prob,0.6314717928546049,metric/structure-aware
pCMF,pCMF,pCMF,de_prob,0.1021008740156151,linear/probabilistic
scGAE,scGAE,scGAE,de_prob,0.4748586128830068,deep generative/autoencoder
scGBM,scGBM,scGBM,de_prob,0.6794514760435607,linear/probabilistic
scScope,scScope,scScope,de_prob,0.3193103534510967,deep generative/autoencoder
scvis,scvis,scvis,de_prob,0.137045855559145,deep generative/autoencoder
