method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,centroid_distance,0.629,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.625,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,4765.0,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.633,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.55,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.887,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.585,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.686,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.875,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.373,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.527,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.633,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,5178.0,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.639,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.614,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.825,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.632,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.671,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.814,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.358,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.894,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.6,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,791.0,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.678,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.539,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.783,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.657,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.7,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.866,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.422,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,1.0,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,1.0,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,325.0,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.711,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.695,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.942,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.654,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.709,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.894,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.433,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,1.0,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,1.0,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,150.0,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.704,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.749,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.983,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.77,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.768,TI,trophectoderm,dr3,0,trajectory,other
