parent_method,score,perturbation_axis,method_order,panel_source,method_id,method_raw,metric,value,dataset_category,dataset_id,structure_table,collection,sim_axis,clustering_algorithm
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,celltype_9,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.83,simulate,celltype_9,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.29,simulate,celltype_9,,simulated,cell types,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.53,simulate,celltype_9,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.8,simulate,celltype_9,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.75,simulate,celltype_9,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.77,simulate,celltype_9,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.13,simulate,celltype_9,,simulated,cell types,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,de_0.2,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.99,simulate,de_0.2,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.99,simulate,de_0.2,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.99,simulate,de_0.2,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.8,simulate,de_0.2,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.3,simulate,de_0.2,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.5,simulate,de_0.2,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.99,simulate,de_0.2,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.67,simulate,de_0.2,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.26,simulate,de_0.2,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.78,simulate,de_0.2,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.86,simulate,de_0.2,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.89,simulate,de_0.2,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.87,simulate,de_0.2,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.59,simulate,de_0.2,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,de_0.4,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,de_0.4,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.4,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,de_0.4,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.84,simulate,de_0.4,,simulated,DE strength,kmeans
