method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,nh_10,0.49,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.488,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.488,TI,muscle,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.615,TI,muscle,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.688,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.664,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.652,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.56,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.562,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.564,TI,neuron,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.707,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.717,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.719,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.595,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.593,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.592,TI,neuron,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.715,TI,neuron,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.766,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.758,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.753,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.6,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.601,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.602,TI,pair-1,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.87,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.874,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.872,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.808,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.806,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.806,TI,pair-1,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.872,TI,pair-1,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.717,TI,pair-2,dr2,0,trajectory,other
