method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,method_order,collection,sim_axis
PCA,0.35,PCA,PCA,TI,pair-2,spectral,COMP,0,trajectory,other
PCA,0.55,PCA,PCA,TI,pair-2,spectral,HOMO,0,trajectory,other
PCA,0.43,PCA,PCA,TI,pair-2,spectral,NMI,0,trajectory,other
PCA,0.28,PCA,PCA,TI,pair-2,spectral,SIL,0,trajectory,other
PCA,0.75,PCA,PCA,TI,pair-3,kmeans,ARI,0,trajectory,other
PCA,0.64,PCA,PCA,TI,pair-3,kmeans,COMP,0,trajectory,other
PCA,0.53,PCA,PCA,TI,pair-3,kmeans,HOMO,0,trajectory,other
PCA,0.58,PCA,PCA,TI,pair-3,kmeans,NMI,0,trajectory,other
PCA,0.67,PCA,PCA,TI,pair-3,kmeans,SIL,0,trajectory,other
PCA,0.01,PCA,PCA,TI,pair-3,louvain,ARI,0,trajectory,other
PCA,0.16,PCA,PCA,TI,pair-3,louvain,COMP,0,trajectory,other
PCA,0.67,PCA,PCA,TI,pair-3,louvain,HOMO,0,trajectory,other
PCA,0.25,PCA,PCA,TI,pair-3,louvain,NMI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,pair-3,louvain,SIL,0,trajectory,other
PCA,0.13,PCA,PCA,TI,pair-3,spectral,ARI,0,trajectory,other
PCA,0.29,PCA,PCA,TI,pair-3,spectral,COMP,0,trajectory,other
PCA,0.54,PCA,PCA,TI,pair-3,spectral,HOMO,0,trajectory,other
PCA,0.38,PCA,PCA,TI,pair-3,spectral,NMI,0,trajectory,other
PCA,0.26,PCA,PCA,TI,pair-3,spectral,SIL,0,trajectory,other
PCA,0.25,PCA,PCA,TI,pair-4,kmeans,ARI,0,trajectory,other
PCA,0.29,PCA,PCA,TI,pair-4,kmeans,COMP,0,trajectory,other
PCA,0.44,PCA,PCA,TI,pair-4,kmeans,HOMO,0,trajectory,other
PCA,0.35,PCA,PCA,TI,pair-4,kmeans,NMI,0,trajectory,other
PCA,0.4,PCA,PCA,TI,pair-4,kmeans,SIL,0,trajectory,other
PCA,0.01,PCA,PCA,TI,pair-4,louvain,ARI,0,trajectory,other
PCA,0.13,PCA,PCA,TI,pair-4,louvain,COMP,0,trajectory,other
PCA,0.54,PCA,PCA,TI,pair-4,louvain,HOMO,0,trajectory,other
PCA,0.22,PCA,PCA,TI,pair-4,louvain,NMI,0,trajectory,other
PCA,0.19,PCA,PCA,TI,pair-4,louvain,SIL,0,trajectory,other
PCA,0.09,PCA,PCA,TI,pair-4,spectral,ARI,0,trajectory,other
PCA,0.22,PCA,PCA,TI,pair-4,spectral,COMP,0,trajectory,other
PCA,0.45,PCA,PCA,TI,pair-4,spectral,HOMO,0,trajectory,other
PCA,0.3,PCA,PCA,TI,pair-4,spectral,NMI,0,trajectory,other
PCA,0.26,PCA,PCA,TI,pair-4,spectral,SIL,0,trajectory,other
PCA,0.42,PCA,PCA,TI,parenchyme,kmeans,ARI,0,trajectory,other
PCA,0.54,PCA,PCA,TI,parenchyme,kmeans,COMP,0,trajectory,other
PCA,0.45,PCA,PCA,TI,parenchyme,kmeans,HOMO,0,trajectory,other
PCA,0.49,PCA,PCA,TI,parenchyme,kmeans,NMI,0,trajectory,other
PCA,0.53,PCA,PCA,TI,parenchyme,kmeans,SIL,0,trajectory,other
PCA,0.14,PCA,PCA,TI,parenchyme,louvain,ARI,0,trajectory,other
PCA,0.29,PCA,PCA,TI,parenchyme,louvain,COMP,0,trajectory,other
PCA,0.61,PCA,PCA,TI,parenchyme,louvain,HOMO,0,trajectory,other
PCA,0.4,PCA,PCA,TI,parenchyme,louvain,NMI,0,trajectory,other
PCA,0.24,PCA,PCA,TI,parenchyme,louvain,SIL,0,trajectory,other
PCA,0.33,PCA,PCA,TI,parenchyme,spectral,ARI,0,trajectory,other
PCA,0.43,PCA,PCA,TI,parenchyme,spectral,COMP,0,trajectory,other
PCA,0.44,PCA,PCA,TI,parenchyme,spectral,HOMO,0,trajectory,other
PCA,0.43,PCA,PCA,TI,parenchyme,spectral,NMI,0,trajectory,other
PCA,0.41,PCA,PCA,TI,parenchyme,spectral,SIL,0,trajectory,other
PCA,0.61,PCA,PCA,TI,phagocyte,kmeans,ARI,0,trajectory,other
PCA,0.61,PCA,PCA,TI,phagocyte,kmeans,COMP,0,trajectory,other
PCA,0.5,PCA,PCA,TI,phagocyte,kmeans,HOMO,0,trajectory,other
PCA,0.55,PCA,PCA,TI,phagocyte,kmeans,NMI,0,trajectory,other
PCA,0.71,PCA,PCA,TI,phagocyte,kmeans,SIL,0,trajectory,other
PCA,0.1,PCA,PCA,TI,phagocyte,louvain,ARI,0,trajectory,other
PCA,0.2,PCA,PCA,TI,phagocyte,louvain,COMP,0,trajectory,other
PCA,0.82,PCA,PCA,TI,phagocyte,louvain,HOMO,0,trajectory,other
PCA,0.33,PCA,PCA,TI,phagocyte,louvain,NMI,0,trajectory,other
PCA,0.25,PCA,PCA,TI,phagocyte,louvain,SIL,0,trajectory,other
PCA,0.66,PCA,PCA,TI,phagocyte,spectral,ARI,0,trajectory,other
PCA,0.63,PCA,PCA,TI,phagocyte,spectral,COMP,0,trajectory,other
PCA,0.55,PCA,PCA,TI,phagocyte,spectral,HOMO,0,trajectory,other
PCA,0.59,PCA,PCA,TI,phagocyte,spectral,NMI,0,trajectory,other
PCA,0.7,PCA,PCA,TI,phagocyte,spectral,SIL,0,trajectory,other
PCA,0.92,PCA,PCA,TI,pharynx,kmeans,ARI,0,trajectory,other
PCA,0.84,PCA,PCA,TI,pharynx,kmeans,COMP,0,trajectory,other
PCA,0.83,PCA,PCA,TI,pharynx,kmeans,HOMO,0,trajectory,other
PCA,0.84,PCA,PCA,TI,pharynx,kmeans,NMI,0,trajectory,other
PCA,0.69,PCA,PCA,TI,pharynx,kmeans,SIL,0,trajectory,other
PCA,0.17,PCA,PCA,TI,pharynx,louvain,ARI,0,trajectory,other
PCA,0.25,PCA,PCA,TI,pharynx,louvain,COMP,0,trajectory,other
PCA,0.86,PCA,PCA,TI,pharynx,louvain,HOMO,0,trajectory,other
PCA,0.39,PCA,PCA,TI,pharynx,louvain,NMI,0,trajectory,other
PCA,0.18,PCA,PCA,TI,pharynx,louvain,SIL,0,trajectory,other
PCA,0.93,PCA,PCA,TI,pharynx,spectral,ARI,0,trajectory,other
PCA,0.87,PCA,PCA,TI,pharynx,spectral,COMP,0,trajectory,other
PCA,0.89,PCA,PCA,TI,pharynx,spectral,HOMO,0,trajectory,other
PCA,0.88,PCA,PCA,TI,pharynx,spectral,NMI,0,trajectory,other
PCA,0.67,PCA,PCA,TI,pharynx,spectral,SIL,0,trajectory,other
PCA,0.91,PCA,PCA,TI,trophectoderm,kmeans,ARI,0,trajectory,other
PCA,0.89,PCA,PCA,TI,trophectoderm,kmeans,COMP,0,trajectory,other
PCA,0.91,PCA,PCA,TI,trophectoderm,kmeans,HOMO,0,trajectory,other
PCA,0.9,PCA,PCA,TI,trophectoderm,kmeans,NMI,0,trajectory,other
PCA,0.73,PCA,PCA,TI,trophectoderm,kmeans,SIL,0,trajectory,other
PCA,0.49,PCA,PCA,TI,trophectoderm,louvain,ARI,0,trajectory,other
PCA,0.56,PCA,PCA,TI,trophectoderm,louvain,COMP,0,trajectory,other
PCA,0.86,PCA,PCA,TI,trophectoderm,louvain,HOMO,0,trajectory,other
PCA,0.68,PCA,PCA,TI,trophectoderm,louvain,NMI,0,trajectory,other
