method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,Mrre_missing_10,0.78,benchmarker,Darmanis,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_20,0.777,benchmarker,Darmanis,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_30,0.774,benchmarker,Darmanis,dr3,0,curated,other
PCA,PCA,PCA,aji_10,0.085,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,aji_20,0.139,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,aji_30,0.175,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,nkr_10,0.151,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,nkr_20,0.227,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,nkr_30,0.283,benchmarker,Darmanis,dr1,0,curated,other
PCA,PCA,PCA,Mrre_missing_10,0.809,benchmarker,Pancreatic,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_20,0.797,benchmarker,Pancreatic,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_30,0.78,benchmarker,Pancreatic,dr3,0,curated,other
PCA,PCA,PCA,aji_10,0.351,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,aji_20,0.448,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,aji_30,0.625,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,nkr_10,0.517,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,nkr_20,0.639,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,nkr_30,0.784,benchmarker,Pancreatic,dr1,0,curated,other
PCA,PCA,PCA,Mrre_missing_10,0.864,benchmarker,Silver,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_20,0.861,benchmarker,Silver,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_30,0.859,benchmarker,Silver,dr3,0,curated,other
PCA,PCA,PCA,aji_10,0.013,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,aji_20,0.023,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,aji_30,0.033,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,nkr_10,0.025,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,nkr_20,0.045,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,nkr_30,0.063,benchmarker,Silver,dr1,0,curated,other
PCA,PCA,PCA,Mrre_missing_10,0.861,benchmarker,Zhengmix4eq,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_20,0.859,benchmarker,Zhengmix4eq,dr3,0,curated,other
PCA,PCA,PCA,Mrre_missing_30,0.857,benchmarker,Zhengmix4eq,dr3,0,curated,other
PCA,PCA,PCA,aji_10,0.009,benchmarker,Zhengmix4eq,dr1,0,curated,other
